0.000000,-859.679583,-170.350573,-719.560491,-115.979907,0.000000.1,0.000000.2,0.000000.3,0.000000.4,0.000000.5,0.000000.6,0.000000.7,0.000000.8,1704023132.520409,0.000000.9,-875.491880,-204.866110,-747.078675,-137.888241,1704023231.460497,class
101.0,-849.3238,-181.880685,-726.748579,-112.557899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.535284,0.0,,,,,,eyes_closed_movement
101.0,-830.523323,-166.143186,-706.676536,-101.794467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.535294,0.0,,,,,,eyes_closed_movement
102.0,-857.54784,-158.192158,-701.163923,-110.572012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.550374,0.0,,,,,,eyes_closed_movement
102.0,-849.738929,-171.061154,-717.462407,-117.543186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.550383,0.0,,,,,,eyes_closed_movement
103.0,-843.530695,-177.781754,-727.324524,-111.39105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.550626,0.0,,,,,,eyes_closed_movement
103.0,-849.634212,-159.774136,-706.15669,-105.081839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.550634,0.0,,,,,,eyes_closed_movement
104.0,-839.080214,-149.388434,-692.995982,-103.683116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.564813,0.0,,,,,,eyes_closed_movement
104.0,-817.534651,-157.76581,-707.925663,-99.210196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.564822,0.0,,,,,,eyes_closed_movement
105.0,-805.712827,-173.136798,-716.789226,-99.81232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.580295,0.0,,,,,,eyes_closed_movement
105.0,-825.78861,-160.940985,-694.368525,-96.255675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.580304,0.0,,,,,,eyes_closed_movement
106.0,-847.581007,-149.407133,-690.557567,-105.194036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.580551,0.0,,,,,,eyes_closed_movement
106.0,-849.492096,-159.949911,-709.51886,-102.927657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.580559,0.0,,,,,,eyes_closed_movement
107.0,-840.662192,-173.910958,-720.34961,-101.001608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.594905,0.0,,,,,,eyes_closed_movement
107.0,-834.128587,-157.414259,-699.017221,-93.959377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.594914,0.0,,,,,,eyes_closed_movement
108.0,-848.96477,-153.401346,-697.394104,-104.165564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.610547,0.0,,,,,,eyes_closed_movement
108.0,-822.198306,-159.766656,-710.562292,-106.435683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.610573,0.0,,,,,,eyes_closed_movement
109.0,-832.905639,-166.782708,-716.317998,-89.018969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.610826,0.0,,,,,,eyes_closed_movement
109.0,-869.100391,-154.03339,-701.852065,-98.234082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.610832,0.0,,,,,,eyes_closed_movement
110.0,-862.843538,-156.411966,-703.54998,-111.540646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.625477,0.0,,,,,,eyes_closed_movement
110.0,-835.310395,-163.659892,-708.40811,-112.067972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.625507,0.0,,,,,,eyes_closed_movement
111.0,-768.654158,-159.276729,-710.117244,-86.647872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.640338,0.0,,,,,,eyes_closed_movement
111.0,-863.486801,-163.35696,-701.455636,-96.049981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.640347,0.0,,,,,,eyes_closed_movement
112.0,-897.235658,-162.62394,-708.553966,-121.630896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.640595,0.0,,,,,,eyes_closed_movement
112.0,-867.417436,-170.09626,-720.323431,-108.937676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.640603,0.0,,,,,,eyes_closed_movement
113.0,-851.780914,-179.962116,-730.312704,-105.927056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.655284,0.0,,,,,,eyes_closed_movement
113.0,-841.331634,-157.298322,-700.752534,-98.368719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.655294,0.0,,,,,,eyes_closed_movement
114.0,-843.504516,-147.937353,-698.867625,-104.341339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.670341,0.0,,,,,,eyes_closed_movement
114.0,-831.727571,-157.986464,-710.595951,-95.388018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.670351,0.0,,,,,,eyes_closed_movement
115.0,-834.996243,-171.154652,-722.638429,-95.541354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.670592,0.0,,,,,,eyes_closed_movement
115.0,-837.531896,-161.098061,-706.594258,-89.000269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.670599,0.0,,,,,,eyes_closed_movement
116.0,-848.291588,-155.383493,-700.849772,-101.981462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.685151,0.0,,,,,,eyes_closed_movement
116.0,-834.151026,-157.272143,-714.893096,-100.967949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.68516,0.0,,,,,,eyes_closed_movement
117.0,-840.669672,-175.227403,-725.495713,-98.888565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.70034,0.0,,,,,,eyes_closed_movement
117.0,-838.13028,-157.283363,-703.890311,-95.287041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.700357,0.0,,,,,,eyes_closed_movement
118.0,-833.320768,-149.818522,-695.157644,-93.720023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.700599,0.0,,,,,,eyes_closed_movement
118.0,-845.019175,-160.077068,-714.328371,-101.69723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.700607,0.0,,,,,,eyes_closed_movement
119.0,-831.690172,-164.740723,-721.980207,-91.068434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.71484,0.0,,,,,,eyes_closed_movement
119.0,-831.222684,-155.862201,-701.074166,-81.161439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.714849,0.0,,,,,,eyes_closed_movement
120.0,-854.152011,-147.791496,-698.863885,-102.351712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.730311,0.0,,,,,,eyes_closed_movement
120.0,-831.832288,-156.516683,-713.931942,-99.026941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.73032,0.0,,,,,,eyes_closed_movement
121.0,-822.987425,-160.72781,-715.233427,-88.177491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.730597,0.0,,,,,,eyes_closed_movement
121.0,-847.293034,-148.849888,-692.775328,-76.99893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.730605,0.0,,,,,,eyes_closed_movement
122.0,-840.609833,-142.028311,-690.965216,-93.506849,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.745056,0.0,,,,,,eyes_closed_movement
122.0,-859.264454,-162.650119,-714.732281,-104.030927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.745066,0.0,,,,,,eyes_closed_movement
123.0,-873.453635,-176.81312,-727.810711,-97.616999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.760224,0.0,,,,,,eyes_closed_movement
123.0,-864.182423,-164.587387,-705.270334,-99.479469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.760237,0.0,,,,,,eyes_closed_movement
124.0,-840.314381,-151.164886,-697.233289,-97.104632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.760459,0.0,,,,,,eyes_closed_movement
124.0,-832.789702,-159.755436,-709.937729,-97.160731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.760467,0.0,,,,,,eyes_closed_movement
125.0,-845.183731,-180.796114,-726.748579,-89.232143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.77529,0.0,,,,,,eyes_closed_movement
125.0,-853.261915,-167.003363,-711.070918,-87.205117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.775299,0.0,,,,,,eyes_closed_movement
126.0,-850.326093,-165.518622,-707.686309,-102.030081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.790234,0.0,,,,,,eyes_closed_movement
126.0,-828.38784,-170.818061,-714.997813,-99.341093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.790244,0.0,,,,,,eyes_closed_movement
127.0,-844.360953,-189.311866,-727.754612,-106.222508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.790511,0.0,,,,,,eyes_closed_movement
127.0,-841.230657,-175.249842,-712.757613,-95.70965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.790519,0.0,,,,,,eyes_closed_movement
128.0,-839.476644,-168.188911,-704.066086,-119.024186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.805286,0.0,,,,,,eyes_closed_movement
128.0,-836.518383,-182.213536,-720.36083,-122.457414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.805295,0.0,,,,,,eyes_closed_movement
129.0,-845.251049,-191.193035,-732.784778,-111.985694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1704023132.820315,0.0,,,,,,eyes_closed_movement
